Department,Type of Query,Level,Interaction type,Location
,,,Drop-in,Stag Hill
Prefer not to say,Maths - Algebra,Prefer not to say,Face-to-face appointment,Manor Park
Biosciences and Medicine,Maths - Calculus,Foundation,Zoom appointment,Off-campus
Business School,Maths - Complex Numbers,UG1,Significant email thread,
Centre for Environment and Sustainability,Maths - Numeracy,UG2,Drop-in Zoom,
Chemical and Process Engineering,Maths - Trigonometry,UG3,,
Chemistry,Maths - Vector Calculus,UG4,,
Civil and Environmental Engineering,Maths - Other,Masters,,
Computer Science,Software - Excel,PhD,,
Economics,Software - LaTeX,Staff,,
Electrical and Electronic Engineering,Software - Matlab,,,
Guildford School of Acting,Software - R,,,
Health Sciences,Software - SPSS,,,
Higher Education,Software - Other,,,
Hospitality and Tourism Management,Statistics - Data Collection,,,
Law,Statistics - Data Presentation,,,
Literature and Languages,Statistics - Statistical Testing,,,
Mathematics,Statistics - Statistical Theory,,,
Mechanical Engineering Sciences,Statistics - Other,,,
Music and Media,,,,
Physics,,,,
Politics,,,,
Psychology,,,,
Sociology,,,,
Technology Enhanced Learning,,,,
Veterinary Medicine,,,,
